,POPESTIMATE,X..Adults.with.Obesity,Trade_2020,Employment.Location.Quotient.Relative.to.U.S._1,Asian,num_competitor,college_cnt,income_median,pop_belowPovertyThreshold,selfstorage_count,shopping_mall_cnt,POPESTIMATE_nor,X..Adults.with.Obesity_nor,Trade_2020_nor,Employment.Location.Quotient.Relative.to.U.S._1_nor,Asian_nor,num_competitor_nor,college_cnt_nor,income_median_nor,pop_belowPovertyThreshold_nor,selfstorage_count_nor,shopping_mall_cnt_nor,Clusters,State,County,MF_exist,nm_MF
0,55869,33.0,177958.0,0.83,649,2,0,428584.5,212.7,0,3,0.07342166029683517,0.14354066985645933,0.027422806613106632,0.6666666666666666,0.06230200633579725,0.044444444444444446,0.0,0.08321086344499833,0.1789473684210526,0.0,0.125,0,Alabama,Autauga,0,0
1,223234,30.0,1335562.0,1.06,2033,42,4,1916068.0,438.1,1,4,0.33072339352644736,0.0,0.20580619272982345,0.9615384615384615,0.19516175482384562,0.9333333333333333,0.3333333333333333,0.46740475760002065,0.40068863748155437,0.07692307692307693,0.16666666666666666,0,Alabama,Baldwin,0,0
2,24686,41.2,0.0,0.67,122,0,0,235085.0,108.5,0,0,0.025481888257884396,0.535885167464115,0.0,0.46153846153846156,0.011711625227992704,0.0,0.0,0.0332329467675698,0.0764387604525332,0.0,0.0,0,Alabama,Barbour,0,0
3,22394,37.4,0.0,0.65,56,2,0,484745.0,88.2,0,0,0.021958238913264726,0.354066985645933,0.0,0.4358974358974359,0.005375827973504848,0.044444444444444446,0.0,0.09771624867629207,0.05646827348745696,0.0,0.0,0,Alabama,Bibb,0,0
4,57826,33.0,120769.0,0.76,236,1,0,514274.0,207.7,0,0,0.07643029108541313,0.14354066985645933,0.018610149202948307,0.5769230769230769,0.022655275031199,0.022222222222222223,0.0,0.10534313092440013,0.17402852926709295,0.0,0.0,0,Alabama,Blount,0,0
5,10101,46.6,0.0,0.57,137,0,0,125654.0,31.3,0,0,0.0030593639597701326,0.7942583732057418,0.0,0.33333333333333326,0.013151579149467216,0.0,0.0,0.004968618436345791,0.0004918839153959665,0.0,0.0,0,Alabama,Bullock,0,0
6,19448,46.8,70918.0,0.87,261,0,0,188393.0,78.4,0,0,0.017429150357745726,0.8038277511961721,0.010928256101935829,0.717948717948718,0.025055198233656522,0.0,0.0,0.021173128083270914,0.046827348745696024,0.0,0.0,0,Alabama,Butler,0,0
7,113605,39.7,679508.0,0.78,925,6,1,711120.0,221.9,0,1,0.16218318671959314,0.4641148325358853,0.10471019271996124,0.6025641025641025,0.08879715849092829,0.13333333333333333,0.08333333333333333,0.15618539659581063,0.1879980324643384,0.0,0.041666666666666664,0,Alabama,Calhoun,0,0
8,33254,42.3,75043.0,0.71,368,0,0,412041.0,61.1,0,0,0.038654064341960025,0.5885167464114831,0.011563906521018224,0.5128205128205128,0.035326869540174714,0.0,0.0,0.07893793424077279,0.029808165272995575,0.0,0.0,0,Alabama,Chambers,0,0
9,26196,38.4,72927.0,0.74,26,1,0,301262.0,124.7,0,0,0.027803315182132086,0.40191387559808606,0.011237837118162867,0.5512820512820512,0.0024959201305558222,0.022222222222222223,0.0,0.0503254384378955,0.09237579931136253,0.0,0.0,0,Alabama,Cherokee,0,0
