,FIPS,State,County,MF_exist,location_score
194,6071,California,SanBernardino,0,100.0
191,6065,California,Riverside,0,86.39908625845713
357,12127,Florida,Volusia,0,84.53297281730573
1822,36055,New York,Monroe,0,84.16206349412106
1828,36067,New York,Onondaga,0,83.50116986184779
346,12105,Florida,Polk,0,83.12833424485846
2903,53011,Washington,Clark,0,83.00657864467858
2600,48215,Texas,Hidalgo,0,82.74626660796922
2553,48121,Texas,Denton,0,82.21244970396553
1740,34001,New Jersey,Atlantic,0,82.13400393404568
663,17197,Illinois,Will,0,82.08132376046558
1196,25023,Massachusetts,Plymouth,0,82.06970422695342
344,12101,Florida,Pasco,0,81.71504160652427
2563,48141,Texas,ElPaso,0,81.66987874031616
1809,36029,New York,Erie,0,81.505948416573
298,12009,Florida,Brevard,0,80.96196468783857
385,13051,Georgia,Chatham,0,80.92505929469193
1830,36071,New York,Orange,0,80.71910266085943
2737,48491,Texas,Williamson,0,80.70498741855754
1182,24043,Maryland,Washington,0,80.67706878474024
1500,29099,Missouri,Jefferson,0,80.57533749736088
1173,24025,Maryland,Harford,0,80.48775414715293
164,6013,California,ContraCosta,0,80.37729784448302
1905,37097,North Carolina,Iredell,0,80.35334308473409
2661,48339,Texas,Montgomery,0,80.17039844854826
1187,25005,Massachusetts,Bristol,0,80.13658911054968
2233,42043,Pennsylvania,Dauphin,0,80.08870078764159
2304,45041,South Carolina,Florence,0,80.08170808635643
2278,42133,Pennsylvania,York,0,80.07688457135515
2221,42019,Pennsylvania,Butler,0,80.05658725115062
2217,42011,Pennsylvania,Berks,0,79.98377498489442
1223,26049,Michigan,Genesee,0,79.95264399530015
2251,42079,Pennsylvania,Luzerne,0,79.87806906318585
613,17097,Illinois,Lake,0,79.78636488338717
1747,34015,New Jersey,Gloucester,0,79.68667298085312
2259,42095,Pennsylvania,Northampton,0,79.6761806039395
334,12083,Florida,Marion,0,79.65621633595306
981,21037,Kentucky,Campbell,0,79.65571059810918
328,12071,Florida,Lee,0,79.57335280703902
327,12069,Florida,Lake,0,79.5396426968084
481,13245,Georgia,Richmond,0,79.53417644396245
2250,42077,Pennsylvania,Lehigh,0,79.53157673612907
429,13139,Georgia,Hall,0,79.48894974484502
2056,39093,Ohio,Lorain,0,79.47765298872321
2571,48157,Texas,FortBend,0,79.41533055209821
1795,36001,New York,Albany,0,79.378861425859
2001,38089,North Dakota,Stark,0,79.36229633697502
167,6019,California,Fresno,0,79.36116716445352
2924,53053,Washington,Pierce,0,79.34880462244182
391,13063,Georgia,Clayton,0,79.33531161013522
1146,23001,Maine,Androscoggin,0,79.29298398810462
1171,24021,Maryland,Frederick,0,79.13397411416337
3043,55101,Wisconsin,Racine,0,79.08525853794178
2285,45003,South Carolina,Aiken,0,79.07944633332745
1191,25013,Massachusetts,Hampden,0,79.06790750789999
2022,39025,Ohio,Clermont,0,79.03695505770325
2085,39151,Ohio,Stark,0,79.03148400600821
1837,36085,New York,Richmond,0,79.01496350916884
2057,39095,Ohio,Lucas,0,79.00396839274096
2236,42049,Pennsylvania,Erie,0,78.90369570077343
201,6085,California,SantaClara,1,78.83123459550706
105,5045,Arkansas,Faulkner,0,78.74674170038398
2256,42089,Pennsylvania,Monroe,0,78.74652779724894
2929,53063,Washington,Spokane,0,78.72842596931152
1300,27037,Minnesota,Dakota,0,78.72291101635592
2576,48167,Texas,Galveston,0,78.70341177008162
1808,36027,New York,Dutchess,0,78.67210661145862
2087,39155,Ohio,Trumbull,0,78.62394627558622
