,id,name,state,city,zip code,review count,rating,address,categories,latitude,longitude
0,2p132ZolL2DvKvuyH-m0tg,Kurb Side Ice,MN,Minneapolis,55408,1.0,5.0,,foodtrucks shavedice,44.9479791,-93.2935778
1,gZPo2ZNevTvi57rwc9crMA,Apoy MPLS,MN,Minneapolis,55409,96.0,3.5,4301 Nicollet Ave,filipino,44.925053101371,-93.2777758187917
2,QNthX-u59M4kWFPL1TQOiw,Mu Mu Tea,MN,Minneapolis,55414,98.0,4.0,313 SE Huron Blvd,bubbletea desserts coffee,44.9738314722053,-93.2238179141481
3,NfV9d71AgruTcwABdkgKDQ,BAMBU,MN,Minneapolis,55408,114.0,4.0,2743 Nicollet Ave,bubbletea juicebars vietnamese,44.95222,-93.27751
4,Xnsa4CJMPqyHkyISgxrzxg,Peninsula Malaysian Cuisine,MN,Minneapolis,55408,339.0,4.0,2608 Nicollet Ave S,malaysian,44.95511,-93.2783199
5,83mW24NnFzdTlfbjQ4VXXQ,Tilia,MN,Minneapolis,55410,638.0,4.0,2726 W 43rd St,newamerican breakfast_brunch,44.92464,-93.314127
1,U0nC_UNCVZoYKyJLWtTiWg,Tiger Sugar,MN,Minneapolis,55414,20.0,4.5,318 14th Ave SE,bubbletea desserts,44.98013,-93.2354
2,F38zcGJ2FerUQo--3dw1cA,Ding Tea St. Paul,MN,Saint Paul,55104,43.0,4.5,1327 University Ave W,bubbletea coffee juicebars,44.9559349,-93.1559401
4,43p95RkcHPHbCoJLFSpdeA,Mi Tea,MN,Minneapolis,55414,12.0,4.0,330 15th Ave Se,bubbletea coffee,44.979557,-93.234223
5,GHmB9TB0nK6rxAB7TEEH7w,Ichigo Tokyo Crepes,MN,Minneapolis,55408,44.0,4.5,5W 34th St,creperies coffee,44.9411691,-93.2782676
6,vlTq6YhQCtOMIeBdfKr06w,Feng Cha Teahouse,MN,Minneapolis,55414,61.0,4.0,2929 University Ave SE,bubbletea desserts coffee,44.9713,-93.21433
7,tZxHrCmJeFgI9PfPxzYNJw,Sencha Tea Bar - Uptown,MN,Minneapolis,55408,213.0,3.5,2601 Hennepin Ave S,coffee bubbletea,44.95540802237967,-93.29664308392098
8,EyFavqjrAGsHvW8jLSuMpg,Kung Fu Tea,MN,Minneapolis,55414,84.0,4.0,923 Washington Ave SE,bubbletea coffee juicebars,44.973871,-93.224839
9,p13IKfqqRykrLhIaBBX0Ig,Waffle Bar,MN,Minneapolis,55408,188.0,4.0,2758 Lyndale Ave S,waffles bubbletea icecream,44.9527015,-93.2882666
10,smrdXQyTcbqOHnK_OuScDw,My Huong Kitchen,MN,Minneapolis,55408,403.0,4.5,2718 Nicollet Ave,vietnamese bubbletea creperies,44.953101,-93.278291
11,7pPCQEB8snXZ-n0OastKkg,Tii Cup,MN,Richfield,55423,22.0,4.0,760 W 78th St,bubbletea shavedsnow coffee,44.86297933,-93.28966133
12,xPAjvis6Wk0vMoFqxe2FNg,UniUni Tea,MN,Minneapolis,55414,3.0,5.0,317 Huron Blvd SE,bubbletea coffee,44.973262,-93.223159
13,34J4kG6Hk5ZqM7pjWlRy8g,Master Noodle,MN,Edina,55435,101.0,4.5,7529 France Ave S,noodles chinese bubbletea,44.866005,-93.326666
