,zip code,num_competitor,county,city,state,population
0,11354,233,Queens,Flushing,New York,52351.0
1,10013,176,New York,New York,New York,28657.0
2,91748,139,Los Angeles,Rowland Heights,California,46634.0
3,10003,124,New York,New York,New York,54671.0
4,92111,120,San Diego,San Diego,California,49874.0
5,19107,112,Philadelphia,Philadelphia,Pennsylvania,14689.0
6,11373,112,Queens,Elmhurst,New York,96495.0
7,112,98,0,0,0,0.0
8,98104,96,King,Seattle,Washington,15155.0
9,11355,95,Queens,Flushing,New York,81358.0
10,10002,88,New York,New York,New York,74363.0
11,98105,84,King,Seattle,Washington,52290.0
12,60616,83,Cook,Chicago,Illinois,52557.0
13,96815,78,Honolulu,Honolulu,Hawaii,25940.0
14,91776,73,Los Angeles,San Gabriel,California,38675.0
15,20852,72,Montgomery,Rockville,Maryland,47338.0
16,90020,71,Los Angeles,Los Angeles,California,39366.0
17,92683,68,Orange,Westminster,California,90833.0
18,30096,66,Gwinnett,Duluth,Georgia,68570.0
19,10001,64,New York,New York,New York,25026.0
20,30096,64,Gwinnett,Duluth,Georgia,68570.0
21,19711,62,New Castle,Newark,Delaware,53194.0
22,208,60,0,0,0,0.0
23,22003,60,Fairfax,Annandale,Virginia,58252.0
24,77036,59,Harris,Houston,Texas,69154.0
25,96761,59,Maui,Lahaina,Hawaii,23117.0
26,96814,58,Honolulu,Honolulu,Hawaii,20348.0
27,90703,56,Los Angeles,Cerritos,California,49633.0
28,91007,56,Los Angeles,Arcadia,California,33827.0
29,90701,56,Los Angeles,Artesia,California,16500.0
30,11214,54,Kings,Brooklyn,New York,90372.0
31,91801,54,Los Angeles,Alhambra,California,54161.0
32,90012,54,Los Angeles,Los Angeles,California,37268.0
33,95035,53,Santa Clara,Milpitas,California,75367.0
34,22044,53,Fairfax,Falls Church,Virginia,14078.0
35,92626,52,Orange,Costa Mesa,California,50978.0
36,11101,51,Queens,Long Island City,New York,32537.0
37,15213,51,Allegheny,Pittsburgh,Pennsylvania,27347.0
38,11377,51,Queens,Woodside,New York,82021.0
39,606,50,Maricao,Maricao,Puerto Rico,6231.0
40,96817,50,Honolulu,Honolulu,Hawaii,54378.0
41,15217,50,Allegheny,Pittsburgh,Pennsylvania,27566.0
42,98037,50,Snohomish,Lynnwood,Washington,29977.0
43,98032,48,King,Kent,Washington,38478.0
44,98003,48,King,Federal Way,Washington,49445.0
45,11201,48,Kings,Brooklyn,New York,64798.0
46,11361,47,Queens,Bayside,New York,28531.0
47,92844,47,Orange,Garden Grove,California,22686.0
48,98188,46,King,Seattle,Washington,25292.0
49,32803,46,Orange,Orlando,Florida,20771.0
50,10019,46,New York,New York,New York,45521.0
51,11358,46,Queens,Flushing,New York,36665.0
52,91950,46,San Diego,National City,California,62783.0
53,90621,44,Orange,Buena Park,California,35448.0
54,21042,44,Howard,Ellicott City,Maryland,42157.0
55,47906,43,Tippecanoe,West Lafayette,Indiana,78767.0
56,97005,42,Washington,Beaverton,Oregon,27393.0
57,91709,42,San Bernardino,Chino Hills,California,82800.0
58,10018,42,New York,New York,New York,8135.0
59,98004,42,King,Bellevue,Washington,37265.0
60,10012,42,New York,New York,New York,23034.0
61,95014,41,Santa Clara,Cupertino,California,61480.0
62,96712,41,Honolulu,Haleiwa,Hawaii,6754.0
63,10025,41,New York,New York,New York,92162.0
64,92843,41,Orange,Garden Grove,California,47823.0
65,76,40,0,0,0,0.0
66,618,40,0,0,0,0.0
67,98499,40,Pierce,Lakewood,Washington,32174.0
68,92604,39,Orange,Irvine,California,28330.0
69,21701,39,Frederick,Frederick,Maryland,38390.0
70,8817,39,Middlesex,Edison,New Jersey,44582.0
71,60607,38,Cook,Chicago,Illinois,30306.0
72,19147,38,Philadelphia,Philadelphia,Pennsylvania,38809.0
73,100,38,0,0,0,0.0
74,92126,38,San Diego,San Diego,California,83257.0
75,2111,38,Suffolk,Boston,Massachusetts,7949.0
76,91324,38,Los Angeles,Northridge,California,30995.0
77,11372,38,Queens,Jackson Heights,New York,63107.0
78,10011,37,New York,New York,New York,50228.0
79,90027,37,Los Angeles,Los Angeles,California,45996.0
80,98133,36,King,Seattle,Washington,49476.0
81,11209,36,Kings,Brooklyn,New York,68368.0
82,92618,36,Orange,Irvine,California,54509.0
83,96753,36,Maui,Kihei,Hawaii,29146.0
84,98122,36,King,Seattle,Washington,41152.0
85,91754,36,Los Angeles,Monterey Park,California,33343.0
86,60625,35,Cook,Chicago,Illinois,78820.0
87,10036,35,New York,New York,New York,28231.0
88,22314,34,Alexandria,Alexandria,Virginia,35208.0
89,60614,34,Cook,Chicago,Illinois,72391.0
90,30340,34,DeKalb,Atlanta,Georgia,29069.0
91,90005,34,Los Angeles,Los Angeles,California,38885.0
92,148,34,0,0,0,0.0
93,55414,34,Hennepin,Minneapolis,Minnesota,36017.0
94,96701,33,Honolulu,Aiea,Hawaii,40279.0
95,96797,33,Honolulu,Waipahu,Hawaii,70684.0
96,95122,33,Santa Clara,San Jose,California,55619.0
97,11375,33,Queens,Forest Hills,New York,72615.0
98,22003,33,Fairfax,Annandale,Virginia,58252.0
99,60657,33,Cook,Chicago,Illinois,70489.0
100,90006,33,Los Angeles,Los Angeles,California,58560.0
101,303,33,0,0,0,0.0
102,220,32,0,0,0,0.0
103,19104,32,Philadelphia,Philadelphia,Pennsylvania,52480.0
104,7024,32,Bergen,Fort Lee,New Jersey,37843.0
105,20001,32,District of Columbia,Washington,District of Columbia,47697.0
106,97266,32,Multnomah,Portland,Oregon,36818.0
107,92109,32,San Diego,San Diego,California,46777.0
108,98057,32,King,Renton,Washington,11534.0
109,98026,32,Snohomish,Edmonds,Washington,38292.0
110,91770,32,Los Angeles,Rosemead,California,63177.0
111,60647,31,Cook,Chicago,Illinois,85658.0
112,11103,31,Queens,Astoria,New York,35419.0
113,98208,30,Snohomish,Everett,Washington,58211.0
114,98007,30,King,Bellevue,Washington,28147.0
115,10022,30,New York,New York,New York,31574.0
116,32819,30,Orange,Orlando,Florida,27849.0
117,98118,30,King,Seattle,Washington,49702.0
118,21228,29,Baltimore,Catonsville,Maryland,49438.0
119,77072,29,Harris,Houston,Texas,65015.0
120,60622,29,Cook,Chicago,Illinois,52957.0
121,92054,28,San Diego,Oceanside,California,40709.0
122,11215,28,Kings,Brooklyn,New York,69995.0
123,89146,28,Clark,Las Vegas,Nevada,18969.0
124,78613,28,Williamson,Cedar Park,Texas,83876.0
125,60618,28,Cook,Chicago,Illinois,94646.0
126,96816,28,Honolulu,Honolulu,Hawaii,50300.0
127,98101,28,King,Seattle,Washington,14380.0
128,94560,28,Alameda,Newark,California,48148.0
129,92708,28,Orange,Fountain Valley,California,56811.0
130,55408,28,Hennepin,Minneapolis,Minnesota,32276.0
131,94108,28,San Francisco,San Francisco,California,13535.0
132,20007,28,District of Columbia,Washington,District of Columbia,26412.0
133,98036,28,Snohomish,Lynnwood,Washington,40784.0
134,22031,28,Fairfax,Fairfax,Virginia,35110.0
135,11385,28,Queens,Ridgewood,New York,105025.0
136,91780,28,Los Angeles,Temple City,California,34854.0
137,20878,27,Montgomery,Gaithersburg,Maryland,63576.0
138,21204,27,Baltimore,Towson,Maryland,21518.0
139,967,27,0,0,0,0.0
140,95823,26,Sacramento,Sacramento,California,80842.0
141,91745,26,Los Angeles,Hacienda Heights,California,55394.0
142,48104,26,Washtenaw,Ann Arbor,Michigan,44219.0
143,94587,26,Alameda,Union City,California,75067.0
144,97214,26,Multnomah,Portland,Oregon,28348.0
145,92115,26,San Diego,San Diego,California,63755.0
146,97124,26,Washington,Hillsboro,Oregon,56101.0
147,91765,26,Los Angeles,Diamond Bar,California,46248.0
148,95823,26,Sacramento,Sacramento,California,80842.0
149,32808,26,Orange,Orlando,Florida,60450.0
150,98103,26,King,Seattle,Washington,54194.0
151,98052,26,King,Redmond,Washington,71940.0
152,94122,26,San Francisco,San Francisco,California,61248.0
153,11217,26,Kings,Brooklyn,New York,42461.0
154,96746,26,Kauai,Kapaa,Hawaii,18863.0
155,138,26,0,0,0,0.0
156,91792,26,Los Angeles,West Covina,California,29806.0
157,90024,26,Los Angeles,Los Angeles,California,52069.0
158,30024,25,Gwinnett,Suwanee,Georgia,80598.0
159,94704,25,Alameda,Berkeley,California,29509.0
160,26505,25,Monongalia,Morgantown,West Virginia,39487.0
161,96813,25,Honolulu,Honolulu,Hawaii,25833.0
162,89102,25,Clark,Las Vegas,Nevada,39283.0
163,89109,25,Clark,Las Vegas,Nevada,7854.0
164,19149,25,Philadelphia,Philadelphia,Pennsylvania,58811.0
165,98409,24,Pierce,Tacoma,Washington,27918.0
166,75035,24,Collin,Frisco,Texas,80269.0
167,92802,24,Orange,Anaheim,California,44013.0
168,96707,24,Honolulu,Kapolei,Hawaii,46529.0
169,97206,24,Multnomah,Portland,Oregon,54248.0
170,77449,24,Harris,Katy,Texas,123157.0
171,20814,24,Montgomery,Bethesda,Maryland,29632.0
172,30024,24,Gwinnett,Suwanee,Georgia,80598.0
173,60611,24,Cook,Chicago,Illinois,33937.0
174,10009,24,New York,New York,New York,58267.0
175,91789,24,Los Angeles,Walnut,California,43531.0
176,92606,24,Orange,Irvine,California,27410.0
177,19406,24,Montgomery,King Of Prussia,Pennsylvania,26631.0
178,32608,24,Alachua,Gainesville,Florida,50431.0
179,75007,24,Denton,Carrollton,Texas,57513.0
180,19148,24,Philadelphia,Philadelphia,Pennsylvania,51754.0
181,32304,23,Leon,Tallahassee,Florida,50298.0
182,95123,23,Santa Clara,San Jose,California,70005.0
183,78758,23,Travis,Austin,Texas,50575.0
184,77449,23,Harris,Katy,Texas,123157.0
185,7054,23,Morris,Parsippany,New Jersey,28943.0
186,20874,23,Montgomery,Germantown,Maryland,60258.0
187,91730,23,San Bernardino,Rancho Cucamonga,California,74843.0
188,22042,23,Fairfax,Falls Church,Virginia,36744.0
189,96756,23,Kauai,Koloa,Hawaii,6245.0
190,75034,22,Collin,Frisco,Texas,116155.0
191,207,22,0,0,0,0.0
192,92801,22,Orange,Anaheim,California,65757.0
193,90028,22,Los Angeles,Los Angeles,California,31385.0
194,98201,22,Snohomish,Everett,Washington,30645.0
195,96826,22,Honolulu,Honolulu,Hawaii,31653.0
196,91105,22,Los Angeles,Pasadena,California,12648.0
197,75081,22,Dallas,Richardson,Texas,40825.0
198,95616,22,Yolo,Davis,California,53805.0
199,33024,22,Broward,Hollywood,Florida,75701.0
200,92832,22,Orange,Fullerton,California,25887.0
201,522,22,0,0,0,0.0
202,97204,22,Multnomah,Portland,Oregon,1162.0
203,91006,22,Los Angeles,Arcadia,California,32526.0
204,2134,22,Suffolk,Allston,Massachusetts,19552.0
205,20877,22,Montgomery,Gaithersburg,Maryland,37948.0
206,97213,22,Multnomah,Portland,Oregon,32815.0
